FID,MEAN_RR,MEDIAN_RR,SDRR,RMSSD,SDSD,SDRR_RMSSD,HR,VLF,VLF_PCT,LF,LF_PCT,LF_NU,HF,HF_PCT,HF_NU,TP,LF_HF,HF_LF,sampen,higuci,condition
10.42.0.211-74.125.22.188-50270-5228-6,885.1578446,853.76373,140.9727412,15.55450456,15.55337134,9.063145708,69.49995211,2661.894136,72.20328671,1009.249419,27.37566614,98.48526285,15.5226025,0.421047142,1.514737149,3686.666157,65.01805474,0.015380343,2.139754004,1.163485204,no stress
172.217.10.110-10.42.0.42-443-53546-6,939.4253707,948.357865,81.31774203,12.96443946,12.96419467,6.272368526,64.36314993,2314.26545,76.97572807,690.1132748,22.95413941,99.69539743,2.108525418,0.070132525,0.304602574,3006.487251,327.2966353,0.003055332,2.174498785,1.08471059,stress
183.79.250.251-10.42.0.151-443-37631-6,898.1860468,907.00686,84.49723585,16.30527867,16.3052737,5.182201271,67.45006559,1373.887112,51.15222526,1298.222619,48.33510357,98.95047182,13.76972944,0.512671162,1.049528181,2685.879461,94.28090982,0.010606601,2.135349707,1.17631483,no stress
172.217.11.42-10.42.0.42-443-58728-6,881.7578645,893.46003,90.37053724,15.72046849,15.72006806,5.748590592,68.8095618,2410.357408,70.18030816,1005.981659,29.29030467,98.2247061,18.18191348,0.529387172,1.775293904,3434.52098,55.32870127,0.018073802,2.178340631,1.179688139,stress
10.42.0.211-121.12.98.64-56590-80-6,809.6253311,811.184865,62.76624216,19.21381887,19.21365745,3.266723944,74.56572752,1151.17733,43.9183664,1421.782051,54.24216013,96.72000734,48.2158224,1.839473467,3.279992663,2621.175204,29.48787308,0.033912246,2.221120909,1.249611574,no stress
174.129.31.175-10.42.0.211-443-54768-6,923.2838661,617.79416,517.5365438,9.965975715,9.933932544,51.93034366,81.34225389,3300.245844,95.31620424,151.1451487,4.365305661,93.20017106,11.02745997,0.318490099,6.799828937,3462.418453,13.70625231,0.072959404,0.582616332,1.128482736,stress
10.42.0.151-74.119.119.68-44489-443-6,973.252908,964.65002,82.40517932,10.64419642,10.64363796,7.741794311,62.095066,758.6746082,61.02207806,483.1144752,38.85809397,99.69257477,1.489795771,0.119827964,0.307425225,1243.278879,324.282351,0.003083732,2.161460851,1.158003629,no stress
10.42.0.151-52.84.135.137-57220-443-6,715.9146819,679.499395,131.4771513,9.477726724,9.477716862,13.87222433,85.85770333,1458.810124,75.75866554,437.878087,22.73980622,93.80591757,28.91345272,1.501528237,6.194082425,1925.601664,15.14444128,0.066030828,1.110738888,1.146554874,stress
157.55.235.173-10.42.0.42-40024-46360-17,814.2570213,827.52283,87.01445866,14.6322316,14.63127463,5.946766089,74.58885654,2124.9184,67.4793203,1003.315816,31.86149139,97.97301803,20.75778727,0.659188313,2.026981967,3148.992003,48.33443002,0.020689186,2.174232755,1.122470737,no stress
172.217.9.227-10.42.0.151-443-60656-6,959.694591,957.8956,54.90452863,12.01540008,12.01534331,4.569513145,62.72699758,1180.987047,69.23078511,522.3102814,30.61841445,99.50989835,2.572458989,0.150800431,0.490101653,1705.869787,203.0393035,0.004925155,2.171599745,1.176053551,stress
216.58.219.202-10.42.0.151-443-46727-6,848.6209148,851.57313,57.88633609,14.14265421,14.14254781,4.093031988,71.0401156,819.5109617,53.9582113,653.7106071,43.04159031,93.48374929,45.56665987,3.000198382,6.516250709,1518.788229,14.34624809,0.069704636,2.206018299,1.291188908,no stress
10.42.0.151-88.212.196.103-43511-443-6,933.5856051,893.898605,130.0819031,16.35778155,16.35654556,7.952294917,65.44386987,2788.481156,71.37907352,1109.178958,28.39257716,99.20215959,8.92065054,0.228349318,0.797840414,3906.580764,124.3383487,0.008042571,2.022375836,1.119257216,stress
10.42.0.211-64.71.142.125-35944-443-6,708.8872922,699.62693,114.0183958,11.98799821,11.98792417,9.51104545,87.10376282,2480.842517,78.8488351,615.8265211,19.57286828,92.5380156,49.65837943,1.578296625,7.461984396,3146.327418,12.40126094,0.080636961,2.089419554,1.162478519,stress
172.217.10.133-10.42.0.151-443-55487-6,772.7466067,775.00477,51.61021081,10.28816219,10.28809068,5.016465512,77.9969138,972.279253,69.07129857,405.0194374,28.77282263,93.02952047,30.347138,2.155878801,6.970479526,1407.645828,13.3462153,0.074927609,2.082336544,1.243975866,no stress
